No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
1,サイハテ,小林オニキス feat. 初音ミク,さいはて,Vocaloid,6:53,2025/08/18,d6nwZtA4Ve0,0.70
2,アイデンティティ,"Kanaria feat. 初音ミク,GUMI",あいでんてぃてぃ,Vocaloid,14:19,2025/08/18,d6nwZtA4Ve0,0.70
3,アイラ,n-buna feat. GUMI,あいら,Vocaloid,20:04,2025/08/18,d6nwZtA4Ve0,0.70
4,Mr.wonderboy,dezzy(一億円P) feat. 初音ミク,mr.wonderboy,Vocaloid,34:40,2025/08/18,d6nwZtA4Ve0,0.70
5,トカレフと少女,もちーべP feat. 初音ミク,とかれふと少女,Vocaloid,40:40,2025/08/18,d6nwZtA4Ve0,0.70
6,あだぽしゃ,いよわ feat. 初音ミク,あだぽしゃ,Vocaloid,46:41,2025/08/18,d6nwZtA4Ve0,0.70
7,いけないボーダーライン,ワルキューレ,いけないぼーだーらいん,その他,53:32,2025/08/18,d6nwZtA4Ve0,0.70
8,アイのシナリオ,CHiCO with HoneyWorks,あいのしなりお,その他,59:40,2025/08/18,d6nwZtA4Ve0,0.70
9,炉心融解,iroha(sasaki) feat. 鏡音リン,炉心融解,Vocaloid,1:07:50,2025/08/18,d6nwZtA4Ve0,0.70
10,Cat's Meow (feat.ケンモチヒデフミ),電音部,cat's meow (feat.けんもちひでふみ),その他,1:21:08,2025/08/18,d6nwZtA4Ve0,0.70
11,雪、無音、窓辺にて。,長門有希(CV.茅原実里),雪、無音、窓辺にて。,アニメ,1:36:45,2025/08/18,d6nwZtA4Ve0,0.70
12,天国へ行こう,きくお feat. 初音ミク,天国へ行こう,Vocaloid,1:48:08,2025/08/18,d6nwZtA4Ve0,0.70
13,アンノウン・マザーグース,wowaka feat. 初音ミク,あんのうん・まざーぐーす,Vocaloid,1:57:36,2025/08/18,d6nwZtA4Ve0,0.70
14,Missing,ELLEGARDEN,missing,その他,2:13:46,2025/08/18,d6nwZtA4Ve0,0.70
15,スターフィッシュ,ELLEGARDEN,すたーふぃっしゅ,その他,2:18:47,2025/08/18,d6nwZtA4Ve0,0.70
16,RTRT,Mili,rtrt,その他,2:24:33,2025/08/18,d6nwZtA4Ve0,0.70
17,YUBIKIRI-GENMAN,Hinano,yubikiri-genman,その他,2:31:31,2025/08/18,d6nwZtA4Ve0,0.70
18,Excαlibur,Mili,excαlibur,その他,2:37:36,2025/08/18,d6nwZtA4Ve0,0.70
19,Opium,Mili,opium,その他,2:43:05,2025/08/18,d6nwZtA4Ve0,0.70
20,paranoia,つなまる feat. 初音ミク,paranoia,Vocaloid,2:52:39,2025/08/18,d6nwZtA4Ve0,0.70
21,ド屑,なきそ feat.歌愛ユキ,ど屑,その他,2:57:30,2025/08/18,d6nwZtA4Ve0,0.70
22,back again,RainyBlueBell × K's,back again,その他,3:04:08,2025/08/18,d6nwZtA4Ve0,0.70
23,帝国少女,R Sound Design feat. 初音ミク,帝国少女,Vocaloid,3:13:04,2025/08/18,d6nwZtA4Ve0,0.70
24,霽れを待つ,Orangestar feat. 初音ミク,霽れを待つ,Vocaloid,9:15,2025/07/03,9ou_djYYJvY,0.90
25,ずうっといっしょ!,キタニタツヤ,ずうっといっしょ!,その他,24:33,2025/07/03,9ou_djYYJvY,0.90
26,SPECIAL THANKS,GLAY,special thanks,Vocaloid,35:51,2025/07/03,9ou_djYYJvY,0.90
27,flos,R Sound Design feat. 初音ミク,flos,Vocaloid,47:35,2025/07/03,9ou_djYYJvY,0.90
28,ウルトラリズム(feat. Hylen),電音部,うるとらりずむ(feat. hylen),その他,54:12,2025/07/03,9ou_djYYJvY,0.90
29,きゅうくらりん,いよわ feat. 可不,きゅうくらりん,その他,1:01:19,2025/07/03,9ou_djYYJvY,0.90
30,おねがいダーリン,ナナホシ管弦楽団,おねがいだーりん,その他,1:09:28,2025/07/03,9ou_djYYJvY,0.90
31,私は、私達は,Guiano feat. 可不,私は、私達は,Vocaloid,1:16:19,2025/07/03,9ou_djYYJvY,0.90
32,太陽のKomachi Angel,B'z,太陽のkomachi angel,その他,1:28:40,2025/07/03,9ou_djYYJvY,0.90
33,群青,YOASOBI,群青,その他,1:37:15,2025/07/03,9ou_djYYJvY,0.90
34,インドア系ならトラックメイカー,Yunomi&nikamoq,いんどあ系ならとらっくめいかー,その他,1:52:03,2025/07/03,9ou_djYYJvY,0.90
35,Cat's Meow (feat.ケンモチヒデフミ),電音部,cat's meow (feat.けんもちひでふみ),その他,2:00:08,2025/07/03,9ou_djYYJvY,0.90
36,G4L,Giga,g4l,その他,2:12:38,2025/07/03,9ou_djYYJvY,0.90
37,あだぽしゃ,いよわ feat. 初音ミク,あだぽしゃ,Vocaloid,3:11:36,2025/07/03,9ou_djYYJvY,0.90
38,Fantastic future,田村ゆかり,fantastic future,その他,3:15:14,2025/07/03,9ou_djYYJvY,0.90
39,もしも一人残されて、世界が嘘じゃないなら,n.k feat.IA,もしも一人残されて、世界が嘘じゃないなら,Vocaloid,14:12,2025/06/07,VcstWzhVQCw,0.70
40,ダーリン,須田景凪,だーりん,その他,22:46,2025/06/07,VcstWzhVQCw,0.70
41,心臓デモクラシー,みきとP feat.初音ミク,心臓でもくらしー,Vocaloid,39:19,2025/06/07,VcstWzhVQCw,0.70
42,白い雪のプリンセスは,のぼる↑ feat.初音ミク,白い雪のぷりんせすは,Vocaloid,47:22,2025/06/07,VcstWzhVQCw,0.70
43,きみも悪い人でよかった,ピノキオピー feat.初音ミク,きみも悪い人でよかった,Vocaloid,55:42,2025/06/07,VcstWzhVQCw,0.70
44,君が生きてなくてよかった,ピノキオピー feat.初音ミク,君が生きてなくてよかった,Vocaloid,1:04:12,2025/06/07,VcstWzhVQCw,0.70
45,文学少年の憂鬱,ナノウ feat.初音ミク,文学少年の憂鬱,Vocaloid,1:11:14,2025/06/07,VcstWzhVQCw,0.70
46,少女レイ,みきとP feat. 初音ミク,少女れい,Vocaloid,1:22:44,2025/06/07,VcstWzhVQCw,0.70
47,快晴,Orangestar feat. IA,快晴,Vocaloid,1:28:52,2025/06/07,VcstWzhVQCw,0.70
48,ホントノ,原口沙輔 feat. 重音テト,ほんとの,Vocaloid,1:38:21,2025/06/07,VcstWzhVQCw,0.70
49,snooze,wotaku feat. 初音ミク,snooze,Vocaloid,1:42:41,2025/06/07,VcstWzhVQCw,0.70
