No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
1,夏夜のマジック,Indigo la End,夏夜のまじっく,その他,5:00,2025/08/14,d2pz8tMZJ08,0.80
2,君がくれた夏,家入レオ,君がくれた夏,その他,27:30,2025/08/14,d2pz8tMZJ08,0.80
3,ネオンを消して,Chilldspot,ねおんを消して,その他,44:16,2025/08/14,d2pz8tMZJ08,0.80
4,寄り酔い,和ぬか,寄り酔い,その他,52:46,2025/08/14,d2pz8tMZJ08,0.80
5,ひまわりの約束 弾き語りver.,秦基博,ひまわりの約束 弾き語りver.,その他,59:35,2025/08/14,d2pz8tMZJ08,0.80
6,青と夏,Mrs. GREEN APPLE,青と夏,J-POP,1:12,2025/07/06,ejgV9LVCkGU,0.80
7,八月の夜,SILENT SIREN,八月の夜,その他,7:22,2025/07/06,ejgV9LVCkGU,0.80
8,夏恋センセイション,マカロニえんぴつ,夏恋せんせいしょん,J-POP,14:29,2025/07/06,ejgV9LVCkGU,0.80
9,打ち上げ花火,米津玄師,打ち上げ花火,J-POP,18:14,2025/07/06,ejgV9LVCkGU,0.80
10,ほうき星,ユンナ,ほうき星,その他,25:50,2025/07/06,ejgV9LVCkGU,0.80
11,CHE.R.RY,YUI,che.r.ry,J-POP,1:14,2025/06/07,5eKChrgjHpo,0.80
12,気まぐれロマンティック,いきものがかり,気まぐれろまんてぃっく,アニメ,7:07,2025/06/07,5eKChrgjHpo,0.80
13,小さな恋のうた,MONGOL800,小さな恋のうた,その他,12:31,2025/06/07,5eKChrgjHpo,0.80
14,夜もすがら君想ふ,西沢さんP,夜もすがら君想ふ,その他,18:06,2025/06/07,5eKChrgjHpo,0.80
15,万キロのフィルム,Official髭男dism,万きろのふぃるむ,J-POP,24:16,2025/06/07,5eKChrgjHpo,0.80
16,ヒバナ,DECO*27,ひばな,Vocaloid,5:21,2025/05/28,RY-Htvm-zpY,1.00
17,モザイクロール(Reloaded),DECO*27,もざいくろーる(reloaded),Vocaloid,9:37,2025/05/28,RY-Htvm-zpY,1.00
18,からくりピエロ,40mP,からくりぴえろ,Vocaloid,12:57,2025/05/28,RY-Htvm-zpY,1.00
19,恋愛裁判,40mP,恋愛裁判,Vocaloid,17:24,2025/05/28,RY-Htvm-zpY,1.00
20,夜咄ディセイブ,じん,夜咄でぃせいぶ,Vocaloid,22:46,2025/05/28,RY-Htvm-zpY,1.00
21,KING,Kanaria,king,Vocaloid,27:53,2025/05/28,RY-Htvm-zpY,1.00
22,酔いどれ知らず,Kanaria,酔いどれ知らず,Vocaloid,30:56,2025/05/28,RY-Htvm-zpY,1.00
23,QUEEN,Kanaria,queen,Vocaloid,34:31,2025/05/28,RY-Htvm-zpY,1.00
24,ヴァンパイア,DECO*27,ゔぁんぱいあ,Vocaloid,38:27,2025/05/28,RY-Htvm-zpY,1.00
25,愛迷エレジー,DECO*27,愛迷えれじー,Vocaloid,43:50,2025/05/28,RY-Htvm-zpY,1.00
26,夜もすがら君想ふ,TOKOTOKO,夜もすがら君想ふ,その他,48:25,2025/05/28,RY-Htvm-zpY,1.00
27,シャルル,バルーン,しゃるる,Vocaloid,53:26,2025/05/28,RY-Htvm-zpY,1.00
28,ルーマー,ポリスピカデリー,るーまー,その他,59:28,2025/05/28,RY-Htvm-zpY,1.00
29,花瓶に触れた,バルーン,花瓶に触れた,Vocaloid,1:04:27,2025/05/28,RY-Htvm-zpY,1.00
30,千本桜,黒うさP,千本桜,その他,1:10:15,2025/05/28,RY-Htvm-zpY,1.00
31,独りんぼエンヴィー,電ポルP,独りんぼえんゔぃー,その他,1:15:45,2025/05/28,RY-Htvm-zpY,1.00
32,ラヴィ,すりぃ,らゔぃ,Vocaloid,1:21:24,2025/05/28,RY-Htvm-zpY,1.00
33,- unravel,TK from 凛として時雨,- unravel,その他,00:05:31,2025/05/18,26ZI1dH6lR8,1.00
34,- アイデンティティ,Kanaria,- あいでんてぃてぃ,Vocaloid,00:10:19,2025/05/18,26ZI1dH6lR8,1.00
35,- あの娘シークレット,Eve feat. 初音ミク,- あの娘しーくれっと,Vocaloid,00:17:39,2025/05/18,26ZI1dH6lR8,1.00
36,- 乙女解剖,DECO*27 feat. 初音ミク,- 乙女解剖,Vocaloid,00:22:19,2025/05/18,26ZI1dH6lR8,1.00
37,- 少女レイ,みきとP feat. 初音ミク,- 少女れい,Vocaloid,00:29:09,2025/05/18,26ZI1dH6lR8,1.00
38,- unravel,TK from 凛として時雨,- unravel,その他,00:05:31,2025/05/18,26ZI1dH6lR8,1.00
39,- アイデンティティ,Kanaria,- あいでんてぃてぃ,Vocaloid,00:10:19,2025/05/18,26ZI1dH6lR8,1.00
40,- あの娘シークレット,Eve feat. 初音ミク,- あの娘しーくれっと,Vocaloid,00:17:39,2025/05/18,26ZI1dH6lR8,1.00
41,- 乙女解剖,DECO*27 feat. 初音ミク,- 乙女解剖,Vocaloid,00:22:19,2025/05/18,26ZI1dH6lR8,1.00
42,- 少女レイ,みきとP feat. 初音ミク,- 少女れい,Vocaloid,00:29:09,2025/05/18,26ZI1dH6lR8,1.00
43,からくりピエロ,40mP,からくりぴえろ,Vocaloid,3:54,2025/05/15,uFTJ5idMiY0,0.80
44,ヴィラン,てにをは,ゔぃらん,その他,13:12,2025/05/15,uFTJ5idMiY0,0.80
45,酔いどれ知らず,Kanaria,酔いどれ知らず,Vocaloid,19:51,2025/05/15,uFTJ5idMiY0,0.80
46,ハオ,DECO*27,はお,Vocaloid,26:34,2025/05/15,uFTJ5idMiY0,0.80
47,天ノ弱,164,天の弱,その他,32:34,2025/05/15,uFTJ5idMiY0,0.80
48,リモコン,じーざすP,りもこん,その他,37:30,2025/05/15,uFTJ5idMiY0,0.80
49,パンダヒーロー,ハチ,ぱんだひーろー,Vocaloid,44:16,2025/05/15,uFTJ5idMiY0,0.80
50,ドーナツホール,ハチ,どーなつほーる,Vocaloid,49:03,2025/05/15,uFTJ5idMiY0,0.80
51,フォニィ,ツミキ -2,ふぉにぃ,Vocaloid,1:01:13,2025/05/15,uFTJ5idMiY0,0.80
52,恋愛裁判,40mP,恋愛裁判,Vocaloid,1:10:35,2025/05/15,uFTJ5idMiY0,0.80
53,flos,R Sound Design,flos,その他,1:17:07,2025/05/15,uFTJ5idMiY0,0.80
54,ルーマー,ポリスピカデリー,るーまー,その他,1:23:09,2025/05/15,uFTJ5idMiY0,0.80
55,花瓶に触れた,バルーン,花瓶に触れた,Vocaloid,1:28:58,2025/05/15,uFTJ5idMiY0,0.80
56,シャルル,バルーン,しゃるる,Vocaloid,1:39:30,2025/05/15,uFTJ5idMiY0,0.80
57,劣等上等,Giga,劣等上等,その他,1:46:45,2025/05/15,uFTJ5idMiY0,0.80
58,フォニィ,ツミキ -2,ふぉにぃ,Vocaloid,1:01:13,2025/05/15,uFTJ5idMiY0,0.80
