No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
1,マリーゴールド,あいみょん,まりーごーるど,その他,00:04:48,2025/02/04,N9dsnKVpRwA,0.60
2,空も飛べるはず,スピッツ,空も飛べるはず,その他,00:10:50,2025/02/04,N9dsnKVpRwA,0.60
3,言って。,ヨルシカ,言って。,その他,00:16:15,2025/02/04,N9dsnKVpRwA,0.60
4,愛のしるし,PUFFY,愛のしるし,その他,00:21:01,2025/02/04,N9dsnKVpRwA,0.60
5,夜に駆ける,YOASOBI,夜に駆ける,その他,00:25:36,2025/02/04,N9dsnKVpRwA,0.60
6,Calc.,ジミーサムP,calc.,Vocaloid,00:36:14,2025/02/04,N9dsnKVpRwA,0.60
7,みくみくにしてあげる♪ 【してやんよ】,ika_mo,みくみくにしてあげる♪ 【してやんよ】,その他,00:40:20,2025/02/04,N9dsnKVpRwA,0.60
8,テトリス,柊マグネタイト,てとりす,その他,00:50:16,2025/02/04,N9dsnKVpRwA,0.60
9,アイネクライネ,米津玄師,あいねくらいね,その他,00:54:04,2025/02/04,N9dsnKVpRwA,0.60
10,恋愛サーキュレーション,千石撫子(花澤香菜),恋愛さーきゅれーしょん,アニメ,00:59:25,2025/02/04,N9dsnKVpRwA,0.60
11,ローリンガール,wowaka,ろーりんがーる,Vocaloid,01:06:56,2025/02/04,N9dsnKVpRwA,0.60
12,ブリキノダンス,日向電工,ぶりきのだんす,その他,01:11:01,2025/02/04,N9dsnKVpRwA,0.60
13,メルト,ryo(supercell),めると,Vocaloid,01:14:49,2025/02/04,N9dsnKVpRwA,0.60
14,天体観測,BUMP OF CHICKEN,天体観測,その他,01:19:20,2025/02/04,N9dsnKVpRwA,0.60
15,グッバイ宣言,Chinozo,ぐっばい宣言,Vocaloid,01:26:03,2025/02/04,N9dsnKVpRwA,0.60
16,ヒロイン,back number,ひろいん,その他,01:29:18,2025/02/04,N9dsnKVpRwA,0.60
17,みくみくにしてあげる♪【してやんよ】,ika_mo,みくみくにしてあげる♪【してやんよ】,その他,00:58:53,2025/02/09,BYrDUW4NDZU,0.20
18,気まぐれロマンティック,いきものがかり,気まぐれろまんてぃっく,その他,01:01:55,2025/02/09,BYrDUW4NDZU,0.20
19,世界が終るまでは…,WANDS,世界が終るまでは…,その他,01:06:36,2025/02/09,BYrDUW4NDZU,0.20
20,怪獣の花唄,Vaundy,怪獣の花唄,その他,01:14:40,2025/02/09,BYrDUW4NDZU,0.20
21,どんなときも。,槇原敬之,どんなときも。,その他,01:19:57,2025/02/09,BYrDUW4NDZU,0.20
22,ハッピーシンセサイザ,EasyPop,はっぴーしんせさいざ,その他,01:25:48,2025/02/09,BYrDUW4NDZU,0.20
23,メランコリック,Junky,めらんこりっく,その他,01:31:05,2025/02/09,BYrDUW4NDZU,0.20
24,ロビンソン,スピッツ,ろびんそん,その他,01:37:15,2025/02/09,BYrDUW4NDZU,0.20
25,シル・ヴ・プレジデント,P丸様。,しる・ゔ・ぷれじでんと,その他,01:44:09,2025/02/09,BYrDUW4NDZU,0.20
26,シルエット,KANA-BOON,しるえっと,アニメ,01:59:59,2025/02/09,BYrDUW4NDZU,0.20
27,いーあるふぁんくらぶ,みきとP,いーあるふぁんくらぶ,Vocaloid,02:09:23,2025/02/09,BYrDUW4NDZU,0.20
28,God knows...,涼宮ハルヒ(平野綾),god knows...,アニメ,02:29:37,2025/02/09,BYrDUW4NDZU,0.20
29,ココロオドル,nobodyknows+,こころおどる,その他,2:15:27,2025/03/04,hf8e7l4oOT4,0.00
30,ようこそジャパリパークへ,どうぶつビスケッツ×PPP,ようこそじゃぱりぱーくへ,アニメ,2:18:25,2025/03/04,hf8e7l4oOT4,0.00
31,ルージュの伝言,松任谷由実,るーじゅの伝言,アニメ,2:33:40,2025/03/04,hf8e7l4oOT4,0.00
32,おはホッホーウ,ナニモナカッタ,おはほっほーう,その他,00:02:57,2025/03/11,TrDgs0KJ9xY,0.50
33,ラーメンとの相性,ニンニクってすげーや,らーめんとの相性,その他,01:10:57,2025/03/11,TrDgs0KJ9xY,0.50
34,赤いスイートピー,松田聖子,赤いすいーとぴー,その他,01:51:12,2025/03/11,TrDgs0KJ9xY,0.50
35,風になる,つじあやの,風になる,その他,02:01:18,2025/03/11,TrDgs0KJ9xY,0.50
36,春の歌,スピッツ,春の歌,その他,02:09:39,2025/03/11,TrDgs0KJ9xY,0.50
37,君は天然色,大滝詠一,君は天然色,その他,02:25:13,2025/03/11,TrDgs0KJ9xY,0.50
38,強風オールバック,ゆこぴ,強風おーるばっく,その他,02:35:37,2025/03/11,TrDgs0KJ9xY,0.50
39,おジャ魔女カーニバル!!,MAHO堂,おじゃ魔女かーにばる!!,アニメ,02:39:06,2025/03/11,TrDgs0KJ9xY,0.50
40,私は最強,Mrs. GREEN APPLE,私は最強,その他,48:50,2025/03/17,S-cKHWOYWEQ,0.70
41,負けないで,ZARD,負けないで,その他,55:14,2025/03/17,S-cKHWOYWEQ,0.70
42,オーバーライド  重音テトSV,吉田夜世,おーばーらいど  重音てとsv,Vocaloid,1:03:30,2025/03/17,S-cKHWOYWEQ,0.70
43,フラレガイガール,さユり,ふられがいがーる,アニメ,1:08:07,2025/03/17,S-cKHWOYWEQ,0.70
44,ロミオとシンデレラ,doriko feat. 初音ミク（アカペラVer）,ろみおとしんでれら,Vocaloid,1:30:30,2025/03/17,S-cKHWOYWEQ,0.70
45,ロミオとシンデレラ,doriko feat. 初音ミク,ろみおとしんでれら,Vocaloid,1:31:19,2025/03/17,S-cKHWOYWEQ,0.70
46,夜もすがら君想う,TOKOTOKO（西沢さんP） feat.GUMI,夜もすがら君想う,Vocaloid,1:37:18,2025/03/17,S-cKHWOYWEQ,0.70
