No,曲,歌手・ユニット,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア,リンク
1,初配信！第一声,不明,その他,1:37,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=97
2,自己紹介(タコだけど自己),不明,その他,5:13,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=313
3,三面図公開,不明,その他,10:00,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=600
4,好きなものについて,不明,その他,13:53,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=833
5,好きなアニメについて,不明,アニメ,16:05,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=965
6,好きなげーむについて,不明,その他,25:32,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=1532
7,得意なことについて,不明,その他,31:42,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=1902
8,ポルポ画伯の作品公開,不明,その他,33:12,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=1992
9,今後の配信について,不明,その他,35:02,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=2102
10,今後の目標を語る,不明,その他,36:40,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=2200
11,初歌配信,不明,その他,40:38,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=2438
12,蝶々結び,Aimer,その他,43:00,2025/03/02,4nXAda7wMF8,0.00,https://www.youtube.com/watch?v=4nXAda7wMF8&t=2580
